"HolderAddress","Balance","PendingBalanceUpdate"
"0x068fe2de4e27b6087be98623c587c943c97849a3","4","No"
"0x094e8ba98c6883188864e5efc18bbb0a0480c906","69","No"
"0x0a383ab06ba637ffd7bb80320a16f86d1bbd323c","30","No"
"0x0c31b4283931682a53e71987d5ee20d4de5dc429","264","No"
"0x0ec2a8a282ff119844aef9e09f5ea321a5713b50","643","No"
"0x0fb8d1de5b8efff46b7fc8d79ce05678f7519c90","1275","No"
"0x11b1dd0b216966a5a383802028ba3e8193694c72","114","No"
"0x1b7ff53b4b5dc8e23cb5d996d9e9f7cdff9e5072","1","No"
"0x1c6c899e280dfcb08ef5a15b71142f41fb825eab","99","No"
"0x1d6fde416db0dac28ddf38a760e44712fa7bf5d1","494","No"
"0x1f3c4c6dd5affcc8a6fec6c3c6887c24662de7c1","40","No"
"0x219883c5dd2e50c29e2e9433a7761b4ecd97fbf8","7","No"
"0x290c03b9a0d1c4475574a7575467ec87b2934254","113","No"
"0x2eb3c5920cead8d470f2c054940c785227d407ef","947","No"
"0x2ec2947fa2bc8970fc22c0c5223edfe401ef6c52","347","No"
"0x35463e55b8d953b432a3866779df31982cb5cd01","486","No"
"0x380d81e49da2948f41bf5c59fc4ca4a40e89758b","55","No"
"0x39095dbbf3a657c703eb3efb00206465bb9ae09f","4","No"
"0x3c9c21c8c6142a9a17ccefdb25535b2cb08bc04c","919","No"
"0x42ce4c142c4dcde22fb6c3b087243109481355ef","102","No"
"0x45013972c82e67e47f69f982829646e8b1129f44","179","No"
"0x45dbf8c327cf42d0f82ac6b712311cbdb6cb93c9","264","No"
"0x46a555ea1fb4f55fabc01d6572c4f0fddc4e79ef","451","No"
"0x48c337eb9945f64e2f0a5bb5a95714117d8ae396","9","No"
"0x523255e13adb9f02b148b5c79f9c77a5f02494e8","90","No"
"0x527e7a8bc1137bde1acac3b91acc4122461856af","104","No"
"0x545887f91fffa9a6cb03f20a8abef089e1f2fcc3","4","No"
"0x57e306539a9706630e7594321d2d46c20e5c3c56","254","No"
"0x59c8fa8635da3feb6c47637693d0212a8fd05fa7","164","No"
"0x5dda810324745521365be9c001cb15ff63f8bc9b","717","No"
"0x5eba3e097049163ce48f64cc30fc0b409bc98d89","376","No"
"0x673f931dce4cefea10bb2546eb25c01326ae8dfb","83","No"
"0x67c0702ff37298911f7e7ec99049c027e12e9167","426","No"
"0x6bf867028bd170c5fa5e6227c440376d3a6d61c4","65","No"
"0x743b72ded659c1d4092b1c3a0b873c828377575e","263","No"
"0x75f55d2bb2feb4af21f12d6ee135ae2b4e2a0ce4","1302","No"
"0x7bc8494514287a0fdd6ee16e2890223a76aaa735","115","No"
"0x7e4b6694e452df4b8a6309717041544c092e333e","24","No"
"0x7ed5bedc83f17f9b549728c0134a47fc210da9a9","262","No"
"0x829de1b044a36f3c233c8c5454377035101ce93a","2","No"
"0x851d18529b854953e52c014809ed58b797c45a8f","145","No"
"0x8c32c05c463569ed374f0c8f239bab86246f6f6a","51","No"
"0x8d96396bad1774b42694fa3fadbb60ef79aa4ded","2051","No"
"0x9533a30131e593141c7954d236a27d2f26cf765a","55","No"
"0x956daa7044cd18ac5aae9b129ce64682aa0e7258","302","No"
"0x958c5098c4c45e6edb47cffbc19ccb242e0b12d1","48","No"
"0xa010bff6f0ece88d1abc82835622b82b615872cb","55","No"
"0xa5a350ad487b1bd39118cff8ce794879c8c4fb8f","126","No"
"0xa80a9d0425abef013a99dc4fda585cbc8a5f5c24","273","No"
"0xaeb01397d633b81bef9021decd69eedd38af64b5","1911","No"
"0xb2af20f89791d7209e233227e0890b3adcfea61d","44","No"
"0xb2c9f38252dcbe3a99359643acff210c482de4b0","70","No"
"0xb4cd43b9db5298135d216dbda24733f9c6f19983","151","No"
"0xb7242502386b00220c5a0ef889a5da0e8251e596","434","No"
"0xb96174e33c583a1da05e77a37ecc1b5d96363c1c","39","No"
"0xbaeb029a0766747cc7a48e8be5526ad6788a7bfb","568","No"
"0xbdd7f2f78ae952dd3f66ec6982f481fed9b4e9ff","46","No"
"0xc09aaf1deb3449083c6ff8c3e3cddae3ec40c8b1","361","No"
"0xc456ec4d91e4fb4b9993dc612e0c4ef2bc42c7af","73","No"
"0xc6320d7e69d795002651045d8426d26e5940905d","667","No"
"0xc95e700488e84f483c5ed1da82375ed0ffa88c63","103","No"
"0xd80bf3193d9070cdc1ed1dd80fdfb1a19a9b3e47","604","No"
"0xdd0326234eb05096eb6dc94a8a1bdaeec2cf27b2","12","No"
"0xdd09c50ff49dcc2d2b7969089424accb91a1d2d4","393","No"
"0xdde85ffac002b5ef255f0ad376563eee491bfba1","5","No"
"0xdf37ce28201486eb8c7175308caeb5628d269579","18","No"
"0xe1c43afb6c4da4de00851062138cb5803472028a","724","No"
"0xe25f6fa9133b78fb9b714a22f540a2e0b41e3238","150","No"
"0xeb1aecd9379993a73434f60e5f8a3ddecf2dd266","1193","No"
"0xf06b53fd65eca8231fe544ff2c0fc12e1ed1baf4","1394","No"
"0xf5b97e6747ccedc19b28d28694388cab102bafc2","56","No"
"0xf65310e67bffb125cd7281048d3724a81cf47876","62","No"
"0xf6fdb23892e3bbd1fedf852990b41f4626b0a9e9","64","No"
"0xf7b18a1035775c1e2a9d9d1419e05ae9b95e31db","68","No"
"0xfb8c0175d863c23d2c556489934307dc20639ee7","332","No"
"0xfb944ed6432d1cc01d1283a3fbd68c10fd076419","228","No"
"0xffe889e69b91ffbb58b8fad813601f37a098251d","185","No"
